식품명,식품기원명,식품대분류명,대표식품명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),나트륨(mg),콜레스테롤(mg)
밤버섯,식물성,버섯류,밤버섯,100g,17,2.9,0.9,3.5,,,
버들송이버섯,식물성,버섯류,버들송이버섯,100g,20,4.2,0.1,5.5,,7,
뽕나무버섯,식물성,버섯류,뽕나무버섯,100g,195,27.7,6.9,54.4,,5,
상황버섯,식물성,버섯류,상황버섯,100g,179,4.4,0.27,84.58,0,33,0
석이버섯,식물성,버섯류,석이버섯,100g,165,11.75,0.96,68.47,0.33,6,0
느타리버섯,식물성,버섯류,느타리버섯,100g,15,2.6,0.14,4.7,0.74,2,0
능이버섯,식물성,버섯류,능이버섯(향버섯),100g,17,2.2,0.1,5.9,,12,
동충하초,식물성,버섯류,동충하초,100g,27,5.56,0.38,7.07,0.33,23,0
만가닥버섯,식물성,버섯류,만가닥버섯,100g,19,2.5,0.34,6.34,0.37,2,0
돼지고기,동물성,육류,돼지고기,100g,139,20.9,5.39,0,0,49,57.54
닭 부산물,동물성,육류,닭 부산물,100g,178,23.25,8.54,0,0,55,379.48
닭 육수,동물성,육류,닭 육수,100g,12,1.3,0.7,0,,13,
닭 부산물,동물성,육류,닭발 육수,100g,4,0.25,0.28,0,0,20,0.85
닭고기,동물성,육류,닭고기,100g,215,28.88,9.92,0,0,116,142.09
거위 부산물,동물성,육류,거위 부산물,100g,133,16.37,4.28,6.32,,140,515
고래고기,동물성,육류,고래고기,100g,111,26.5,0.5,0,0,78,80
꿩고기,동물성,육류,꿩고기,100g,124,27.5,0.8,0,,70,
라즈베리,식물성,과일류,라즈베리,100g,52,1.2,0.65,11.94,4.42,1,0
망고스틴,식물성,과일류,망고스틴,100g,71,0.6,0.2,17.5,,1,0
구즈베리,식물성,과일류,구즈베리,100g,51,1,0.1,13.2,10.9,1,0
블랙커런트,식물성,과일류,블랙커런트,100g,63,1.4,0.41,15.38,,2,0
애플수박,식물성,과일류,애플수박,100g,40,0.94,0.81,8.39,6.23,0,0
잭프루트,식물성,과일류,잭프루트,100g,95,1.72,0.64,23.25,19.08,2,0
오렴자,식물성,과일류,오렴자(카람볼라),100g,30,0.7,0.1,7.5,,1,0
마가목 열매,식물성,과일류,마가목 열매,100g,115,1.3,0.8,25.5,,,
보리밥 열매,식물성,과일류,보리밥 열매,100g,354,18.5,1.3,68.5,,,
사과,식물성,과일류,사과,100g,51,0.34,0.08,13.74,11.37,0,0
오렌지,식물성,과일류,오렌지,100g,47,0.92,0.16,11.81,9.21,2,0
거위고기,동물성,육류,거위고기,100g,161,22.75,7.13,0,,87,84
포도,식물성,과일류,포도,100g,69,0.2,0.18,18.5,16.7,1,0
포도즙,식물성,과일류,포도즙,100g,48,0.66,0.01,12.62,9.71,1,0
아로니아,식물성,과일류,아로니아,100g,60,0.82,0.21,15.41,4.49,0,0
체리,식물성,과일류,체리,100g,57,1.36,0.15,14.35,8.01,1,0
플럼코트,식물성,과일류,플럼코트,100g,47,0.61,1.05,9.97,7.5,0,0
백향과,식물성,과일류,백향과(패션프루트) 주스,100g,51,0.39,0.05,13.6,13.4,6,0
자두,식물성,과일류,자두,100g,240,2.18,0.38,63.88,38.13,2,0
자몽,식물성,과일류,자몽(그레이프프루트),100g,32,0.84,0.05,7.92,4.2,1,0
참외,식물성,과일류,참외,100g,45,1.33,0.04,11.23,9.81,3,0
크랜베리,식물성,과일류,크랜베리,100g,46,0.46,0.13,11.97,4.27,2,0
키위,식물성,과일류,키위,100g,54,0.77,0.26,13.73,7.07,1,0
탱자,식물성,과일류,탱자,100g,84,1.3,1.5,18.5,,2,
파인애플,식물성,과일류,파인애플,100g,53,0.46,0.04,14.32,10.26,0,0
파파야,식물성,과일류,파파야,100g,40,0.7,0.08,10.24,8.78,9,0
백향과,식물성,과일류,백향과(패션프루트),100g,100,1.68,1.55,22.58,8.58,1,0
앵두,식물성,과일류,앵두,100g,61,1.1,0.3,15.2,,10,
엘더베리,식물성,과일류,엘더베리,100g,73,0.66,0.5,18.4,,6,0
오디,식물성,과일류,오디,100g,56,0.8,0.4,14,,1,
오미자,식물성,과일류,오미자,100g,81,2.1,3.3,12.8,,1,
올리브 피클,식물성,과일류,올리브 피클,100g,121,0.8,12.3,3.4,,640,
용과,식물성,과일류,용과,100g,44,1,0.4,10.3,,1,
유자,식물성,과일류,유자,100g,49,0.93,0.09,12.54,4.1,3,0
으름,식물성,과일류,으름,100g,158,2,12.9,11.9,,,
산딸기,식물성,과일류,산딸기,100g,55,1.35,0.22,13.55,7.8,0,0
산수유,식물성,과일류,산수유,100g,112,0.87,2.82,23.83,10.33,3,0
살구,식물성,과일류,살구,100g,30,1.2,0.05,7.12,7.39,1,0
석류,식물성,과일류,석류,100g,77,0.29,0.2,20.71,9.94,1,0
소귀나무 열매,식물성,과일류,소귀나무 열매,100g,24,0.8,0.6,4.6,,23,
수박,식물성,과일류,수박,100g,31,0.79,0.05,7.83,5.06,0,0
산자나무 열매,식물성,과일류,산자나무 열매(씨벅톤),100g,70,1,3.8,9.7,,20,
아떼모야,식물성,과일류,아떼모야,100g,73,1.2,0.1,19,,2,
아보카도,식물성,과일류,아보카도,100g,160,2,14.66,8.53,0.66,7,0
아세로라,식물성,과일류,아세로라,100g,36,0.7,0.1,9,,7,0
소고기,동물성,육류,소고기,100g,157,20.61,7.43,0,0,58,62.46
돼지 부산물,동물성,육류,돼지 부산물,100g,73,15.4,0.8,0,,195,
메추리고기,동물성,육류,메추리고기,100g,194,20.5,12.9,0.1,,35,120
멧돼지고기,동물성,육류,멧돼지고기,100g,249,18.8,19.8,0.5,,45,86
달걀,동물성,난류,달걀,100g,136,12.91,8.25,0.79,0.11,139,303.31
메추리알,동물성,난류,메추리알,100g,146,12.8,9.02,1.66,0,137,400.96
오리알,동물성,난류,오리알,100g,171,13.11,11.32,2.03,0,136,388.45
염소고기,동물성,육류,염소고기,100g,99,21.9,1.5,0.2,,45,70
오리고기,동물성,육류,오리고기,100g,249,16.63,18.99,0,0,70,91.45
자라고기,동물성,육류,자라고기,100g,175,16.4,13.4,0.5,,69,95
칠면조고기,동물성,육류,칠면조고기,100g,144,21.64,5.64,0.13,0.07,112,72
토끼고기,동물성,육류,토끼고기,100g,161,20.97,7.68,0,0.62,50,72.36
말고기,동물성,육류,말고기,100g,102,20.1,2.5,0.3,,50,65
거위알,동물성,난류,거위알,100g,193,13.2,14.1,0.8,,45,
기러기알,동물성,난류,기러기알,100g,193,12.3,13.9,2.4,,143,
송아지 부산물,동물성,육류,송아지 부산물,100g,90,16.3,2.3,0,,108,229
양고기,동물성,육류,양고기,100g,205,18.8,15.3,0.1,,37,78
어린양고기,동물성,육류,어린양고기,100g,372,14.52,34.39,0,,56,76
어린양 부산물,동물성,육류,어린양 부산물,100g,139,20.38,5.02,1.78,,70,371
송아지고기,동물성,육류,송아지고기,100g,217,24.8,12.32,0,0,93,103
소 부산물,동물성,육류,소 부산물,100g,252,17.4,19,0,,42,
양지국물,동물성,육류,양지국물,100g,4,1,0,0,,26,
우족국물,동물성,육류,우족국물,100g,2,0.3,0.1,0,,14,
잡뼈국물,동물성,육류,잡뼈국물,100g,28,4.3,1,0,,61,
프로폴리스,식물성,기타,프로폴리스,100g,642,0.5,50.3,46.9,,19,
고로쇠나무,식물성,기타,고로쇠나무,100g,5,0,0.02,1.44,1.08,0,0
누에,동물성,기타,누에,100g,482,50.85,26.53,10.06,0,79,41.99
달팽이,동물성,기타,달팽이,100g,90,16.1,1.4,2,0,70,50
번데기,동물성,기타,번데기,100g,126,12.62,7.55,1.95,0,2,85.21
솔잎,식물성,기타,솔잎,100ml,8,0.1,,2.1,,4,
수세미,식물성,기타,수세미,100ml,4,0.8,,0.7,,3,
치자꽃,동물성,기타,치자꽃,100g,66,1.3,0.1,14.9,,8,
귀뚜라미,동물성,기타,귀뚜라미,100g,130,22.45,0,3.39,0,121,159.1
갈색 거저리,동물성,기타,갈색 거저리,100g,195,23.19,11,0.83,0.97,32,42.28
흰점박이 꽃무지,동물성,기타,흰점박이 꽃무지,100g,122,15.78,5.2,2.9,0,42,24.51
장수풍뎅이,동물성,기타,장수풍뎅이,100g,502,44.62,27.21,19.55,0,40,0
팽창제,기타,기타,팽창제,100g,307,37.1,6.8,43.1,0.1,120,0
로열젤리,동물성,기타,로열젤리,100g,104,14.29,1.4,12.82,12.04,12,0
대나무,식물성,기타,대나무,100ml,2,0,0.1,0.2,,13,
메뚜기,동물성,기타,메뚜기,100g,125,24.29,2.26,1.86,0,49,104.75
삼백초,식물성,기타,삼백초,100g,301,12.1,3.8,67,,8,
송화,식물성,기타,송화,100g,340,17.4,8.6,63.2,,5,
인삼,식물성,기타,인삼,100g,316,15.7,0.5,69.8,,,
월계수,식물성,조미료류,월계수,100g,313,7.61,8.36,74.97,,23,0
코리아타임,식물성,조미료류,코리아타임,100g,378,1.4,6.2,79.2,,76,
페퍼민트,식물성,조미료류,페퍼민트,100g,70,3.75,0.94,14.89,,31,0
타라곤,식물성,조미료류,타라곤,100g,295,22.77,7.24,50.22,,62,0
오레가노,식물성,조미료류,오레가노,100g,265,9,4.28,68.92,4.09,25,0
레몬그라스,식물성,조미료류,레몬그라스(시트로넬라),100g,99,1.82,0.49,25.31,,6,0
사프란,식물성,조미료류,사프란,100g,310,11.43,5.85,65.37,,148,0
고춧가루,식물성,조미료류,고춧가루,100g,319,13.29,8.4,60.62,17.45,13,0
깨소금,식물성,조미료류,깨소금,100g,638,18.1,56.7,13.7,,,
된장,식물성,조미료류,된장,100g,164,10.9,2.1,25.3,,,
산초,식물성,조미료류,산초,100g,302,9.66,4.01,68.57,0,7,0
올스파이스,식물성,조미료류,올스파이스,100g,364,5.6,5.6,75.2,,53,0
육두구,식물성,조미료류,육두구,100g,520,5.7,38.5,47.5,,15,0
정향,식물성,조미료류,정향,100g,398,7.2,13.6,66.4,,280,0
칠리,식물성,조미료류,칠리,100g,374,15,8.2,60.1,,2500,0
타임,식물성,조미료류,타임,100g,342,6.5,5.2,69.8,,13,0
파프리카,식물성,조미료류,파프리카,100g,385,15.5,11.6,55.6,,60,0
후추,식물성,조미료류,후추,100g,362,12.87,5,66.33,0.65,6,0
골든세이지,식물성,조미료류,골든세이지,100g,385,1.6,9.3,73.6,,60,
라벤다,식물성,조미료류,라벤다,100g,330,12.6,8.7,63.3,,35,
로즈마리,식물성,조미료류,로즈마리,100g,331,4.88,15.22,64.06,,50,0
민트,식물성,조미료류,민트,100g,294,17.5,6.1,56.2,,28,
상지차,식물성,차류,상지차,100g,360,6,2.4,78.6,,7,
쑥차,식물성,차류,쑥차,100g,338,26.3,0.8,56.4,,153,
야콘차,식물성,차류,야콘차,100ml,98,0.6,0,24,,33,
오미자차,식물성,차류,오미자차,100g,371,16.3,7,60.8,,11,
치커리차,식물성,차류,치커리차,100g,369,7.3,0.2,84.6,,175,
커피,식물성,차류,커피,100ml,22,0.2,0.22,4.93,0.04,1,0
홍차,식물성,차류,홍차,100ml,2,0.23,0.04,0.26,0.03,1,0
보이차,식물성,차류,보이차,100g,0,0.12,0,0,0.05,2,0
민들레차,식물성,차류,민들레차,100g,0,0.01,0,0.05,0.05,1,0
카모마일차,식물성,차류,카모마일차,100ml,1,0,0,0.2,0,1,0
감잎차,식물성,차류,감잎차,100ml,0,0.02,0.03,0,0,0,0
결명자차,식물성,차류,결명자차,100ml,0,0,0,0.04,0,0,0
구기자차,식물성,차류,구기자차,100ml,1,0,0,0.13,0.02,0,0
국화차,식물성,차류,국화차,100ml,0,0,0,0.03,0,0,0
우롱차,식물성,차류,우롱차,100ml,0,0,0,0.07,0,0,0
간장,식물성,조미료류,간장,100g,34,5.92,0.03,2.47,0.29,7999,0
계피,식물성,조미료류,계피,100g,343,3.55,0.51,81.07,0,67,0
계피차,식물성,차류,계피차,100g,357,0,1.4,89,,5,
구절초차,식물성,차류,구절초차,100g,345,11.1,1.3,72.1,,46,
녹차,식물성,차류,녹차,100g,379,22.37,2.47,66.91,,23,0
다래나무순차,식물성,차류,다래나무순차,100ml,1,0.1,0,0.1,,7,
대추차,식물성,차류,대추차,100ml,75,0.12,0.44,17.75,12.4,30,0
도라지차,식물성,차류,도라지차,100g,22,0.3,,5.1,,7,
두충차,식물성,차류,두충차,100g,354,14.3,3.8,67.9,,31,
둥굴레차,식물성,차류,둥굴레차,100ml,1,0,0.01,0.27,0,0,0
보리차,식물성,차류,보리차,100ml,0,0,0,0.07,0,1,0
사과차,식물성,차류,사과차,100ml,167,0.1,0,41.6,,34,
올리브유,식물성,유지류,올리브유,100g,921,0,100,0,0,0,0
유채씨기름,식물성,유지류,유채씨기름,100g,920,0.02,99.85,0.1,0,1,0
잇꽃씨기름,식물성,유지류,잇꽃씨기름,100g,892,0,100,0,,0,0
참기름,식물성,유지류,참기름,100g,917,0,99.59,0.14,0,16,0
코코넛유,식물성,유지류,코코넛유,100g,918,0,99.67,0.33,0,18,0
콩기름,식물성,유지류,콩기름,100g,915,0,99.31,0.66,0,0,0
팜유,식물성,유지류,팜유,100g,917,0,99.56,0.44,0,0,0
해바라기유,식물성,유지류,해바라기유,100g,919,0,99.76,0.2,0,2,0
혼합식물성유,식물성,유지류,혼합식물성유,100g,886,0,100,0,,0,2
포도씨유,식물성,유지류,포도씨유,100g,920,0,99.93,0.01,0,1,0
아마씨유,식물성,유지류,아마씨유,100g,884,0.11,99.98,0,0,0,0
호두유,식물성,유지류,호두유,100g,917,0,99.57,0.39,0,0,0
아몬드유,식물성,유지류,아몬드유,100g,884,0,100,0,0,0,0
아보카도유,식물성,유지류,아보카도유,100g,917,0,99.52,0.48,0,13,0
닭기름,동물성,유지류,닭기름,100g,900,0,99.8,0,0,0,85
돼지기름,동물성,유지류,돼지기름,100g,915,0,99.38,0.58,0,17,49.19
쇠기름,동물성,유지류,쇠기름,100g,869,0.2,99.8,0,,1,100
연어기름,동물성,유지류,연어기름,100g,902,0,100,0,,0,485
청둥오리알,동물성,난류,청둥오리알,100g,178,13.6,12.3,1,,,
모유,동물성,우유류,모유,100g,61,1.1,3.5,7.2,6.4,15,15
분유,동물성,우유류,분유,100g,498,13.98,23.93,56.6,47.28,173,55.11
산양유,동물성,우유류,산양유,100g,62,3.16,3.62,4.03,3.48,40,16.47
우유,동물성,우유류,우유,100g,65,3.08,3.32,5.53,4.12,36,9.69
들기름,식물성,유지류,들기름,100g,920,0,99.86,0,0,12,0
땅콩기름,식물성,유지류,땅콩기름,100g,884,0,100,0,0,0,0
면실유,식물성,유지류,면실유,100g,883,0,100,0,,0,0
복숭아씨기름,식물성,유지류,복숭아씨기름,100g,911,0.5,98.9,0.3,,13,
쌀겨기름,식물성,유지류,쌀겨기름(미강유),100g,921,0,99.95,0.05,0,0,0
옥수수기름,식물성,유지류,옥수수기름,100g,919,0,99.74,0.17,0,25,0
숭어,동물성,어패류 및 기타 수산물,숭어류,100g,171,22.52,8.08,0,,,
전어,동물성,어패류 및 기타 수산물,전어,100g,206,19.58,13.12,0,,,
도다리,동물성,어패류 및 기타 수산물,도다리류,100g,118,17.88,4.5,0.02,,,
다시마,식물성,해조류,다시마류,100g,19,1.42,0.24,7.08,,,
김,식물성,해조류,김류,100g,45,5.09,0.14,5.3,,,
넙치,동물성,어패류 및 기타 수산물,넙치류,100g,33,4.91,1,0.79,,,
홍합,동물성,어패류 및 기타 수산물,홍합류,100g,67,9.24,1.25,3.87,,,
굴,동물성,어패류 및 기타 수산물,굴류,100g,50,5.8,1.33,3.27,,,
동자개,동물성,어패류 및 기타 수산물,동자개,100g,87,17.03,1.57,0,,,
청각,식물성,해조류,청각,100g,10,0.62,0.33,3.61,,,
붕어,동물성,어패류 및 기타 수산물,붕어,100g,89,19.19,0.85,0,,,
쏘가리,동물성,어패류 및 기타 수산물,쏘가리,100g,124,21.65,3.46,0,,,
쥐치,동물성,어패류 및 기타 수산물,쥐치류,100g,83,18.58,0.5,0,,,
보구치,동물성,어패류 및 기타 수산물,보구치,100g,107,20.06,2.42,0,,,
문어,동물성,어패류 및 기타 수산물,문어류,100g,121,16.38,3.2,5.24,,,
다슬기,동물성,어패류 및 기타 수산물,다슬기류,100g,84,12.66,1.32,4.4,,,
메기,동물성,어패류 및 기타 수산물,메기,100g,82,17.6,0.23,1.42,,,
향어,동물성,어패류 및 기타 수산물,향어(이스라엘잉어),100g,129,17.55,3.1,6.23,,,
송어,동물성,어패류 및 기타 수산물,송어류,100g,174,21.51,8.89,0,,,
다랑어,동물성,어패류 및 기타 수산물,다랑어류,100g,97,22,1.01,,0,37,47
연어,동물성,어패류 및 기타 수산물,연어류,100g,205,23,12.5,0,0,53,57.3
먹장어,동물성,어패류 및 기타 수산물,먹장어,100g,129,16.9,6,0.4,0.4,,
대멸,동물성,어패류 및 기타 수산물,멸치,100g,303,47.4,9.8,2.5,2.5,,
명태,동물성,어패류 및 기타 수산물,명태,100g,126,20.5,3,2.7,2.7,,
둑중개,동물성,어패류 및 기타 수산물,둑중개,100g,104,15,4.2,0.2,0.2,,
드렁허리,동물성,어패류 및 기타 수산물,드렁허리,100g,92,17.9,1.7,0,0,,
만새기,동물성,어패류 및 기타 수산물,만새기,100g,66,13.3,1.1,0,0,,
망둑어,동물성,어패류 및 기타 수산물,망둑어류,100g,90,18.7,1.1,0.3,0.3,,
망상어,동물성,어패류 및 기타 수산물,망상어류,100g,89,18.9,0.9,0.2,0.2,,
몽치다래,동물성,어패류 및 기타 수산물,몽치다래,100g,159,24.08,5.9,0.5,0.5,,
물메기,동물성,어패류 및 기타 수산물,물메기,100g,78,16.4,0.9,0.1,0.1,,
물치다래,동물성,어패류 및 기타 수산물,물치다래,100g,168,23.4,7.3,0.1,0.1,,
기름종개,동물성,어패류 및 기타 수산물,기름종개류,100g,96,16.2,2.8,0.2,0.2,,
빙어,동물성,어패류 및 기타 수산물,빙어류,100g,91,19.5,0.6,,,250,
괴도라치,동물성,어패류 및 기타 수산물,괴도라치,100g,74,17.2,0.1,0.02,0.02,,
군평선이,동물성,어패류 및 기타 수산물,군평선이,100g,103,18.5,2.6,0.2,0.2,,
모래무지,동물성,어패류 및 기타 수산물,모래무지,100g,77,15.7,1.1,0,0,,
강달이,동물성,어패류 및 기타 수산물,강달이류,100g,109,17,3.9,0.1,0.1,,
강준치,동물성,어패류 및 기타 수산물,강준치,100g,90,18.7,1.1,0.2,0.2,,
게르치,동물성,어패류 및 기타 수산물,게르치류,100g,158,20.8,7.5,0,0,,
감펭,동물성,어패류 및 기타 수산물,감펭류,100g,83,19,0.3,0,0,,
가오리,동물성,어패류 및 기타 수산물,가오리류,100g,97,21.6,0.6,0,0,,
전복,동물성,어패류 및 기타 수산물,전복류,100g,85,15.31,0.42,4.1,,,
왕우렁이,동물성,어패류 및 기타 수산물,왕우렁이,100g,109,10.59,2.38,10.29,,,
갯가재,동물성,어패류 및 기타 수산물,갯가재류,100g,89,15.96,2.01,0.75,,,
미더덕,동물성,어패류 및 기타 수산물,미더덕류,100g,32,5.43,0.83,0.27,,,
볼락,동물성,어패류 및 기타 수산물,볼락류,100g,105,20.5,1.92,0,,,
가라지,동물성,어패류 및 기타 수산물,가라지류,100g,78,14.81,1.3,0.69,0.69,,
가물치,동물성,어패류 및 기타 수산물,가물치,100g,86,18.2,0.8,0.3,0.3,,
가시망둑,동물성,어패류 및 기타 수산물,가시망둑,100g,101,22.4,0.7,0,0,,
양미리,동물성,어패류 및 기타 수산물,양미리,100g,123,21.5,3.4,0,0,,
양태,동물성,어패류 및 기타 수산물,양태류,100g,78,16.5,0.6,0.6,0.6,,
서대,동물성,어패류 및 기타 수산물,서대류,100g,84,18.6,0.4,0.5,0.5,,
열쌍동가리,동물성,어패류 및 기타 수산물,열쌍동가리,100g,86,18.3,0.9,0.1,0.1,,
웅어,동물성,어패류 및 기타 수산물,웅어,100g,169,15.9,10.8,0,0,,
은어,동물성,어패류 및 기타 수산물,은어,100g,114,16.7,4.5,0.2,0.2,,
쌍동가리,동물성,어패류 및 기타 수산물,쌍동가리,100g,101,20.8,1.4,0,0,,
쌍뿔달재,동물성,어패류 및 기타 수산물,쌍뿔달재,100g,75,16.9,0.4,0.1,0.1,,
쑤기미,동물성,어패류 및 기타 수산물,쑤기미,100g,84,18.47,0.4,0.53,0.53,,
잉어,동물성,어패류 및 기타 수산물,잉어,100g,113,17.5,4,0.3,0.3,,
꽁치,동물성,어패류 및 기타 수산물,꽁치,100g,142,22.7,4.7,0.44,0.44,,
임연수어,동물성,어패류 및 기타 수산물,임연수어,100g,152,19.6,7.1,0.5,0.5,,
놀래기,동물성,어패류 및 기타 수산물,놀래기류,100g,104,20.3,1.9,0,0,,
농어,동물성,어패류 및 기타 수산물,농어류,100g,138,23.63,2.56,0,,87,
까나리,동물성,어패류 및 기타 수산물,까나리,100g,114,16,4.8,0.3,0.3,,
꺽저기,동물성,어패류 및 기타 수산물,꺽저기,100g,92,19.5,1,0.1,0.1,,
꼬치고기,동물성,어패류 및 기타 수산물,꼬치고기,100g,97,20.45,0.8,0.65,0.65,,
꼼치,동물성,어패류 및 기타 수산물,꼼치류,100g,70,16.36,0.1,0.05,0.05,,
날치,동물성,어패류 및 기타 수산물,날치,100g,99,22.2,0.5,0.1,0.1,,
납지리,동물성,어패류 및 기타 수산물,납지리,100g,86,17.5,1.2,0.1,0.1,,
노래미,동물성,어패류 및 기타 수산물,노래미류,100g,89,17.5,1.3,0.8,0.8,,
누치,동물성,어패류 및 기타 수산물,누치,100g,105,17.3,3,0.8,0.8,,
눈볼대,동물성,어패류 및 기타 수산물,눈볼대,100g,144,22.3,5.3,0.02,0.02,,
눈퉁멸,동물성,어패류 및 기타 수산물,눈퉁멸,100g,138,18.5,6.2,0.44,0.44,,
능성어,동물성,어패류 및 기타 수산물,능성어,100g,93,18.8,1.3,0.3,0.3,,
달강어,동물성,어패류 및 기타 수산물,달강어,100g,121,19.7,4,0.14,0.14,,
대두어,동물성,어패류 및 기타 수산물,대두어(흑연),100g,96,17.5,2.1,0.5,0.5,,
대수리,동물성,어패류 및 기타 수산물,대수리,100g,112,18.8,2.6,1.9,1.9,,
도도바리,동물성,어패류 및 기타 수산물,도도바리류,100g,95,19.42,1.2,0.48,0.48,,
도루묵,동물성,어패류 및 기타 수산물,도루묵,100g,113,16,4.6,0.45,0.45,,
도화돔,동물성,어패류 및 기타 수산물,도화돔,100g,130,21.3,4.3,0,0,,
동가리,동물성,어패류 및 기타 수산물,동가리류,100g,82,19.2,0.1,0.07,0.07,,
동갈치,동물성,어패류 및 기타 수산물,동갈치,100g,97,19.78,1.3,0.42,0.42,,
동사리,동물성,어패류 및 기타 수산물,동사리,100g,81,16.9,1,0,0,,
가리비,동물성,어패류 및 기타 수산물,가리비류,100g,99,17.6,1.9,1.9,,250,
초어,동물성,어패류 및 기타 수산물,초어,100g,89,17.1,1.7,0.2,0.2,,
통구멍,동물성,어패류 및 기타 수산물,통구멍류,100g,82,18.2,0.5,0,0,,
통치,동물성,어패류 및 기타 수산물,통치,100g,138,20,5.7,0.1,0.1,,
투라치,동물성,어패류 및 기타 수산물,투라치,100g,79,18.1,0.1,0.5,0.5,,
틸라피아,동물성,어패류 및 기타 수산물,틸라피아,100g,126,19.3,4.7,0.2,0.2,,
피라미,동물성,어패류 및 기타 수산물,피라미,100g,105,18.5,2.8,0.2,0.2,,
학공치,동물성,어패류 및 기타 수산물,학공치,100g,94,17.8,1.7,0.7,0.7,,
고둥,동물성,어패류 및 기타 수산물,고둥류,100g,104,17.7,1.1,4.5,4.5,,
홍치,동물성,어패류 및 기타 수산물,홍치,100g,93,18.9,1.4,0.1,0.1,,
황어,동물성,어패류 및 기타 수산물,황어,100g,95,18.3,1.8,0.2,0.2,,
횟대,동물성,어패류 및 기타 수산물,횟대류,100g,93,19.51,0.9,0.49,0.49,,
히메치,동물성,어패류 및 기타 수산물,히메치,100g,99,20.9,1.1,0,0,,
가무락조개,동물성,어패류 및 기타 수산물,가무락조개,100g,77,14.14,0.6,2.77,2.77,,
각시수랑,동물성,어패류 및 기타 수산물,각시수랑,100g,70,15,0.3,0.92,0.92,,
개량조개,동물성,어패류 및 기타 수산물,개량조개,100g,62,12,0.7,1.1,1.1,,
개조개,동물성,어패류 및 기타 수산물,개조개,100g,64,10.9,0.6,3.04,3.04,,
박대,동물성,어패류 및 기타 수산물,박대,100g,115,21.4,1.4,0.1,,1394,
풀반지,동물성,어패류 및 기타 수산물,반지,100g,167,16.94,10.1,0.16,0.16,,
방어,동물성,어패류 및 기타 수산물,방어류,100g,101,21.7,0.8,0.4,0.4,,
베도라치,동물성,어패류 및 기타 수산물,베도라치류,100g,85,15.7,1.6,0.8,0.8,,
베로치,동물성,어패류 및 기타 수산물,베로치,100g,86,19.5,0.4,0,0,,
벤자리,동물성,어패류 및 기타 수산물,벤자리류,100g,94,17.3,2.1,0.2,0.2,,
민태,동물성,어패류 및 기타 수산물,민태,100g,88,15.2,2.5,0,0,,
바리,동물성,어패류 및 기타 수산물,바리류,100g,106,20.1,1.8,1,,,
복,동물성,어패류 및 기타 수산물,복류,100g,88,19.8,0.3,0.42,0.42,,
볼기우럭,동물성,어패류 및 기타 수산물,볼기우럭,100g,129,18.7,5.3,0,0,,
백연,동물성,어패류 및 기타 수산물,백연,100g,89,19,0.8,0.3,0.3,,
밴댕이,동물성,어패류 및 기타 수산물,밴댕이,100g,225,16.3,16.5,0.2,0.2,,
뱅어,동물성,어패류 및 기타 수산물,뱅어,100g,382,64.3,11.3,1,,,
부세,동물성,어패류 및 기타 수산물,부세,100g,105,17.2,3.4,0,0,,
부시리,동물성,어패류 및 기타 수산물,부시리,100g,109,22.3,1.5,0.1,0.1,,
붉은메기,동물성,어패류 및 기타 수산물,붉은메기,100g,83,18.2,0.7,0,0,,
병어,동물성,어패류 및 기타 수산물,병어,100g,130,16.4,6.3,0.29,0.29,,
보리멸,동물성,어패류 및 기타 수산물,보리멸류,100g,93,19.5,1.1,0,0,,
삼세기,동물성,어패류 및 기타 수산물,삼세기,100g,97,18.6,1.8,0.5,0.5,,
삼치,동물성,어패류 및 기타 수산물,삼치류,100g,124,20.08,2.93,0,0,39,
상어,동물성,어패류 및 기타 수산물,상어류,100g,101,18.5,2.4,0.1,0.1,,
새다래,동물성,어패류 및 기타 수산물,새다래,100g,104,18.9,2.6,0,0,,
블루길,동물성,어패류 및 기타 수산물,블루길,100g,83,17.8,0.8,0.2,0.2,,
빨강부치,동물성,어패류 및 기타 수산물,빨강부지,100g,71,15.8,0.5,0,0,,
살살치,동물성,어패류 및 기타 수산물,살살치,100g,70,15.5,0.2,0.6,0.6,,
소라,동물성,어패류 및 기타 수산물,소라류,100g,137,19.6,0.1,10.9,,,
수랑,동물성,어패류 및 기타 수산물,수랑,100g,86,15.9,0.7,2.9,2.9,,
오분자기,동물성,어패류 및 기타 수산물,오분자기,100g,95,13.3,2.1,4.6,4.6,,
왕우럭조개,동물성,어패류 및 기타 수산물,왕우럭조개,100g,101,16.4,2.2,2.7,2.7,,
우럭,동물성,어패류 및 기타 수산물,우럭,100g,99,16.3,2,2.7,2.7,,
재첩,동물성,어패류 및 기타 수산물,재첩,100g,94,12.5,1.9,5.8,5.8,,
바지락,동물성,어패류 및 기타 수산물,바지락,100g,82,12.27,0.93,3.2,0.75,383,
백합,동물성,어패류 및 기타 수산물,백합류,100g,58,10.1,0.5,2.5,2.5,,
대합,동물성,어패류 및 기타 수산물,대합류,100g,62,12,0.8,1,1,,
살조개,동물성,어패류 및 기타 수산물,살조개,100g,89,14.2,1.5,3.6,3.6,,
새조개,동물성,어패류 및 기타 수산물,새조개,100g,114,21.5,1.9,1.3,1.3,,
톳,식물성,해조류,톳,100g,35,2.72,0.37,13.5,,,
